iter,games,net,AspirationDelta,AspirationWidenPct,RfpMargin,RfpMaxDepth,LmrMinDepth,LmrMinMoveIndex,LmrDepth6At,LmrDeepAt,HistoryBonusMultPct
0,16,-0.1250,117.73,148.80,100.96,7.76,2.88,2.88,5.88,11.76,99.04
1,16,-0.2500,120.94,150.49,99.60,8.10,2.71,2.71,5.71,11.42,100.40
2,16,+0.1250,119.63,149.80,99.05,8.24,2.64,2.78,5.78,11.28,99.84
3,16,-0.1875,121.33,150.70,98.34,8.06,2.73,2.87,5.69,11.11,100.56
4,16,-0.0625,121.84,150.43,98.55,8.00,2.71,2.90,5.72,11.16,100.77
5,16,+0.0625,122.30,150.68,98.36,8.05,2.68,2.87,5.69,11.11,100.97
6,16,+0.1250,121.44,151.13,98.72,7.96,2.64,2.83,5.74,11.20,101.33
7,16,+0.2500,123.05,150.28,99.39,7.79,2.55,2.74,5.82,11.03,100.65
8,16,+0.1250,122.29,150.68,99.71,7.71,2.51,2.70,5.78,10.95,100.34
9,16,+0.2500,123.72,151.44,100.31,7.56,2.44,2.63,5.86,11.10,99.73
0,16,+0.0625,121.14,150.60,99.52,8.12,3.06,3.06,6.06,12.12,100.48
1,16,-0.1250,122.74,151.44,98.85,8.29,2.98,2.98,5.98,11.95,101.15
2,16,+0.0625,122.09,151.10,98.57,8.36,2.94,3.01,6.01,11.88,100.88
3,16,-0.0625,122.65,151.40,98.33,8.30,2.97,3.04,5.98,11.82,101.12
4,16,+0.0000,122.65,151.40,98.33,8.30,2.97,3.04,5.98,11.82,101.12
5,16,-0.0625,122.19,151.15,98.53,8.25,3.00,3.06,6.00,11.87,100.92
6,16,-0.1250,123.05,150.70,98.17,8.34,3.04,3.11,5.96,11.78,100.56
7,16,+0.2500,124.65,149.86,98.84,8.17,2.96,3.02,6.04,11.61,99.89
8,16,+0.1875,123.52,150.45,99.32,8.05,2.90,2.97,5.98,11.49,99.41
9,16,+0.1250,124.23,150.83,99.62,7.98,2.86,2.93,6.02,11.57,99.11
10,16,+0.1250,123.55,151.19,99.91,7.90,2.82,2.96,6.06,11.64,98.82
11,16,+0.1250,124.20,151.54,100.18,7.83,2.79,3.00,6.02,11.57,99.10
12,16,-0.4375,122.01,150.38,99.26,8.07,2.67,3.11,5.91,11.34,98.17
13,16,+0.1250,122.61,150.70,99.00,8.00,2.64,3.08,5.88,11.28,97.91
14,16,+0.0000,122.61,150.70,99.00,8.00,2.64,3.08,5.88,11.28,97.91
15,16,+0.0625,122.33,150.55,98.88,7.97,2.63,3.07,5.86,11.25,98.03
16,16,-0.1250,121.78,150.26,98.65,7.92,2.60,3.10,5.83,11.30,97.80
17,16,-0.0625,121.51,150.12,98.54,7.89,2.61,3.08,5.85,11.33,97.91
18,16,+0.0000,121.51,150.12,98.54,7.89,2.61,3.08,5.85,11.33,97.91
19,16,-0.1250,122.02,150.38,98.75,7.83,2.58,3.05,5.87,11.28,98.13
20,16,+0.0000,122.02,150.38,98.75,7.83,2.58,3.05,5.87,11.28,98.13
21,16,-0.1250,122.50,150.13,98.55,7.78,2.56,3.08,5.85,11.33,98.33
22,16,+0.1875,121.79,149.76,98.25,7.86,2.52,3.04,5.88,11.25,98.03
23,16,-0.1250,121.33,150.00,98.44,7.81,2.50,3.02,5.86,11.30,98.23
24,16,+0.0000,121.33,150.00,98.44,7.81,2.50,3.02,5.86,11.30,98.23
25,16,+0.0000,121.33,150.00,98.44,7.81,2.50,3.02,5.86,11.30,98.23
26,16,-0.1250,121.77,150.23,98.26,7.85,2.52,3.00,5.88,11.35,98.04
27,16,-0.1250,121.34,150.01,98.08,7.90,2.54,3.02,5.86,11.30,97.86
28,16,-0.0625,121.55,150.12,98.17,7.92,2.55,3.01,5.85,11.33,97.95
29,16,-0.3750,122.79,149.46,97.65,8.05,2.49,2.94,5.78,11.46,98.47
30,16,+0.0000,122.79,149.46,97.65,8.05,2.49,2.94,5.78,11.46,98.47
31,16,+0.0625,122.59,149.57,97.56,8.07,2.48,2.93,5.77,11.44,98.39
